query_id,pregunta,retrieval_exitoso,formato_exitoso,generacion_exitosa,categoria_error,detalle_error,modelo_extraccion_usado,prompt_version,prompt_hash
Q01,¿Qué se entiende por Activos Líquidos Computables?,0,1,0,A,El buscador falló. El texto clave no estuvo presente en los chunks recuperados en el Top-10.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q02,¿En qué plazo debe reportarse el Coeficiente de Cobertura de Liquidez diario?,1,1,0,B,Alucinación o Inexactitud del LLM. El contexto contenía el fragmento pero el LLM omitió variables o alucinó datos.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q03,¿Qué es el Flujo Neto Total de Salida de Efectivo?,1,1,1,ÉXITO,Extracción e inyección correctas.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q04,¿Cómo se determina el flujo total de salida de efectivo?,1,1,0,B,Alucinación o Inexactitud del LLM. El contexto contenía el fragmento pero el LLM omitió variables o alucinó datos.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q05,¿Qué fecha deben tomar las Instituciones para determinar el plazo de las operaciones de salida?,1,1,0,B,Alucinación o Inexactitud del LLM. El contexto contenía el fragmento pero el LLM omitió variables o alucinó datos.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q06,¿Qué operaciones se consideran para el flujo total de entrada de efectivo?,0,1,0,A,El buscador falló. El texto clave no estuvo presente en los chunks recuperados en el Top-10.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q07,¿Cuál es el límite máximo reconocido para el flujo total de entrada de efectivo?,1,1,1,ÉXITO,Extracción e inyección correctas.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q08,¿Qué requisito de CCL debe cumplir una institución con más de 60 meses de operación para estar en Escenario I?,0,1,0,A,El buscador falló. El texto clave no estuvo presente en los chunks recuperados en el Top-10.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q09,¿Cuándo se ubica una institución en Escenario III por recurrencia en Escenario II?,0,1,0,A,El buscador falló. El texto clave no estuvo presente en los chunks recuperados en el Top-10.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q10,¿Qué tratamiento de escenarios de liquidez reciben las instituciones en sus primeros 12 meses de operación?,0,1,0,A,El buscador falló. El texto clave no estuvo presente en los chunks recuperados en el Top-10.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q11,¿Cuál es el CCL mínimo para Escenario I en instituciones de entre 13 y 24 meses de operación?,0,1,0,A,El buscador falló. El texto clave no estuvo presente en los chunks recuperados en el Top-10.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q12,¿Qué medida debe tomar una institución en Escenario III respecto a sus operaciones?,1,1,0,B,Alucinación o Inexactitud del LLM. El contexto contenía el fragmento pero el LLM omitió variables o alucinó datos.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q13,¿Qué restricciones de dividendos aplican en el Escenario IV de CCL?,1,1,0,B,Alucinación o Inexactitud del LLM. El contexto contenía el fragmento pero el LLM omitió variables o alucinó datos.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q14,¿Cómo deben valuarse los títulos conservados a vencimiento para el CCL?,1,1,0,B,Alucinación o Inexactitud del LLM. El contexto contenía el fragmento pero el LLM omitió variables o alucinó datos.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q15,¿Qué criterio aplica si una misma operación tiene más de un factor de salida en el Anexo 2?,1,1,1,ÉXITO,Extracción e inyección correctas.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q16,¿Cómo se determina la fecha de vencimiento para los flujos de entrada de efectivo?,1,1,0,B,Alucinación o Inexactitud del LLM. El contexto contenía el fragmento pero el LLM omitió variables o alucinó datos.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q17,¿Qué medida adicional se aplica a las Instituciones que se ubiquen en el escenario V de CCL?,0,1,0,A,El buscador falló. El texto clave no estuvo presente en los chunks recuperados en el Top-10.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q18,¿Cuál es la restricción al incluir activos líquidos de entidades extranjeras en el cálculo consolidado?,0,1,0,A,El buscador falló. El texto clave no estuvo presente en los chunks recuperados en el Top-10.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q19,¿Cómo debe considerarse la cartera de crédito para el cálculo del CFEN?,0,1,0,A,El buscador falló. El texto clave no estuvo presente en los chunks recuperados en el Top-10.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q20,¿Cómo se tratan las operaciones fecha valor en el CFEN?,0,1,0,A,El buscador falló. El texto clave no estuvo presente en los chunks recuperados en el Top-10.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q21,¿Cómo se calcula el plazo de las operaciones para el CFEN?,1,1,1,ÉXITO,Extracción e inyección correctas.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q22,¿Qué supuesto aplica para determinar el plazo remanente de los activos con opciones?,1,1,0,B,Alucinación o Inexactitud del LLM. El contexto contenía el fragmento pero el LLM omitió variables o alucinó datos.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q23,¿Qué supuesto aplica para determinar el plazo remanente de los pasivos con opciones?,0,1,0,A,El buscador falló. El texto clave no estuvo presente en los chunks recuperados en el Top-10.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q24,¿Cómo se determina el plazo de pago para créditos de cuenta corriente dispuestos por tarjetas de crédito?,1,1,1,ÉXITO,Extracción e inyección correctas.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q25,¿Qué nivel de CFEN se requiere para estar en el Escenario I?,1,1,1,ÉXITO,Extracción e inyección correctas.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q26,¿Qué obligación surge cuando una Institución se ubica en un escenario distinto al I en 3 o más ocasiones en 12 meses?,0,1,0,A,El buscador falló. El texto clave no estuvo presente en los chunks recuperados en el Top-10.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q27,¿Qué plazo tiene una institución en Escenario II para presentar un plan de restauración de CFEN?,1,1,1,ÉXITO,Extracción e inyección correctas.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q28,¿Qué medida adicional aplica a las Instituciones en Escenario III de CFEN?,1,1,0,B,Alucinación o Inexactitud del LLM. El contexto contenía el fragmento pero el LLM omitió variables o alucinó datos.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q29,¿Qué metodología se aplica para activos y pasivos por derivados en el CFEN?,0,1,0,A,El buscador falló. El texto clave no estuvo presente en los chunks recuperados en el Top-10.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q30,¿Qué ponderación de financiamiento estable disponible tienen los pasivos con plazo residual igual o mayor a un año?,0,1,0,A,El buscador falló. El texto clave no estuvo presente en los chunks recuperados en el Top-10.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q31,¿Cómo deben tratarse las amortizaciones parciales de capital en el cálculo del plazo para el CFEN?,1,1,0,B,Alucinación o Inexactitud del LLM. El contexto contenía el fragmento pero el LLM omitió variables o alucinó datos.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q32,¿Qué factor de financiamiento estable requerido aplica a la cartera hipotecaria de vivienda con ponderación de riesgo menor o igual al 35%?,0,1,0,A,El buscador falló. El texto clave no estuvo presente en los chunks recuperados en el Top-10.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q33,"¿Cuál es el factor de financiamiento estable requerido para la caja, los billetes y las monedas?",0,1,0,A,El buscador falló. El texto clave no estuvo presente en los chunks recuperados en el Top-10.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q34,¿Qué debe contener el informe detallado que presentan las Instituciones si se ubican en un escenario distinto al I en 3 ocasiones en 12 meses?,0,1,0,A,El buscador falló. El texto clave no estuvo presente en los chunks recuperados en el Top-10.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q35,"¿A qué se refiere el término ""Coeficientes"" en la regulación?",0,1,0,A,El buscador falló. El texto clave no estuvo presente en los chunks recuperados en el Top-10.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q36,¿Qué operaciones deben incluir las Instituciones para el cálculo individual y consolidado?,1,1,0,B,Alucinación o Inexactitud del LLM. El contexto contenía el fragmento pero el LLM omitió variables o alucinó datos.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q37,¿Cuál es el criterio general para considerar el valor de las operaciones?,0,1,0,A,El buscador falló. El texto clave no estuvo presente en los chunks recuperados en el Top-10.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q38,¿Cómo se calcula la equivalencia en moneda nacional de montos en dólares de EE. UU.?,1,1,0,B,Alucinación o Inexactitud del LLM. El contexto contenía el fragmento pero el LLM omitió variables o alucinó datos.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q39,¿Qué debe hacer una Institución si prevea ubicarse en un escenario distinto al I?,0,1,0,A,El buscador falló. El texto clave no estuvo presente en los chunks recuperados en el Top-10.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q40,¿En cuánto tiempo el Banco de México verificará los cálculos reportados?,0,1,1,A,El buscador falló. El texto clave no estuvo presente en los chunks recuperados en el Top-10.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q41,¿Cuál será el cálculo válido para todos los efectos legales?,1,1,0,B,Alucinación o Inexactitud del LLM. El contexto contenía el fragmento pero el LLM omitió variables o alucinó datos.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q42,¿Cuál es el objetivo de los planes de restauración de los Coeficientes?,0,1,0,A,El buscador falló. El texto clave no estuvo presente en los chunks recuperados en el Top-10.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q43,¿Cuándo se considera que existe un incumplimiento a los requerimientos de liquidez?,0,1,0,A,El buscador falló. El texto clave no estuvo presente en los chunks recuperados en el Top-10.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q44,¿Qué información deben difundir trimestralmente las Instituciones en su página de Internet?,1,1,0,B,Alucinación o Inexactitud del LLM. El contexto contenía el fragmento pero el LLM omitió variables o alucinó datos.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q45,¿Quién es el encargado de aprobar el plan de restauración de los Coeficientes?,0,1,0,A,El buscador falló. El texto clave no estuvo presente en los chunks recuperados en el Top-10.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q46,¿Cómo se realiza el cálculo de la equivalencia en moneda nacional de montos denominados en UDIs?,1,1,0,B,Alucinación o Inexactitud del LLM. El contexto contenía el fragmento pero el LLM omitió variables o alucinó datos.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q47,¿Cómo se deben resolver las consultas sobre la aplicación de estas disposiciones?,1,1,0,B,Alucinación o Inexactitud del LLM. El contexto contenía el fragmento pero el LLM omitió variables o alucinó datos.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q48,¿Cuál es el objetivo principal del Principio 8 establecido por el Comité de Basilea?,1,1,0,B,Alucinación o Inexactitud del LLM. El contexto contenía el fragmento pero el LLM omitió variables o alucinó datos.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q49,¿Cuáles son las herramientas de monitoreo que deben aplicar todos los bancos informantes (Categoría A)?,0,1,0,A,El buscador falló. El texto clave no estuvo presente en los chunks recuperados en el Top-10.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q50,¿Qué datos deben reportar los bancos respecto a sus posiciones netas acumuladas negativas?,1,1,0,B,Alucinación o Inexactitud del LLM. El contexto contenía el fragmento pero el LLM omitió variables o alucinó datos.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q51,¿Cuál es el propósito de la herramienta de Pagos totales?,1,1,0,B,Alucinación o Inexactitud del LLM. El contexto contenía el fragmento pero el LLM omitió variables o alucinó datos.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q52,¿Qué implicaciones tiene el incumplimiento de las obligaciones con horario específico?,1,1,0,B,Alucinación o Inexactitud del LLM. El contexto contenía el fragmento pero el LLM omitió variables o alucinó datos.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q53,¿Cuáles son las herramientas específicas para bancos que prestan servicios de corresponsalía bancaria?,0,1,0,A,El buscador falló. El texto clave no estuvo presente en los chunks recuperados en el Top-10.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q54,¿Qué detalles deben incluir los bancos corresponsales al reportar las líneas de crédito intradía otorgadas?,1,1,0,B,Alucinación o Inexactitud del LLM. El contexto contenía el fragmento pero el LLM omitió variables o alucinó datos.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q55,¿Qué herramienta es exclusiva para los bancos que son participantes directos?,1,1,1,ÉXITO,Extracción e inyección correctas.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q56,¿Qué permite evaluar el ritmo de liquidación intradía?,1,1,0,B,Alucinación o Inexactitud del LLM. El contexto contenía el fragmento pero el LLM omitió variables o alucinó datos.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q57,¿Cuáles son los escenarios de tensión que deben considerar los bancos?,0,1,0,A,El buscador falló. El texto clave no estuvo presente en los chunks recuperados en el Top-10.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q58,¿Qué efecto puede tener una tensión financiera propia en un participante directo?,1,1,0,B,Alucinación o Inexactitud del LLM. El contexto contenía el fragmento pero el LLM omitió variables o alucinó datos.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q59,¿A qué nivel de la estructura organizacional deben aplicarse típicamente estas herramientas?,1,1,0,B,Alucinación o Inexactitud del LLM. El contexto contenía el fragmento pero el LLM omitió variables o alucinó datos.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q60,"En grupos bancarios transfronterizos, ¿cuál es la responsabilidad del supervisor de acogida respecto a una sucursal?",1,1,0,B,Alucinación o Inexactitud del LLM. El contexto contenía el fragmento pero el LLM omitió variables o alucinó datos.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q61,¿Cuál es la fecha de implementación y la frecuencia inicial de reporte?,1,1,0,B,Alucinación o Inexactitud del LLM. El contexto contenía el fragmento pero el LLM omitió variables o alucinó datos.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q62,¿Quién es el responsable final de la presentación de los datos ante el supervisor?,1,1,0,B,Alucinación o Inexactitud del LLM. El contexto contenía el fragmento pero el LLM omitió variables o alucinó datos.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q63,¿Qué elementos se consideran fuentes propias de liquidez intradía?,0,1,1,A,El buscador falló. El texto clave no estuvo presente en los chunks recuperados en el Top-10.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q64,¿Qué indica una combinación de baja liquidez inicial y alta proporción de obligaciones con horario específico?,1,1,0,B,Alucinación o Inexactitud del LLM. El contexto contenía el fragmento pero el LLM omitió variables o alucinó datos.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q65,¿Para consumo no revolvente cómo se define el pago realizado?,0,1,1,A,El buscador falló. El texto clave no estuvo presente en los chunks recuperados en el Top-10.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q66,¿Cuál es la fórmula para calcular la Probabilidad de Incumplimiento (PI) de un crédito de nómina en Etapa 1 o 2?,1,1,1,ÉXITO,Extracción e inyección correctas.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q67,¿Bajo qué condiciones un crédito de nómina pasa directamente a Etapa 3 de riesgo?,1,1,0,B,Alucinación o Inexactitud del LLM. El contexto contenía el fragmento pero el LLM omitió variables o alucinó datos.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q68,¿Cómo deben las instituciones financieras clasificar los créditos en las etapas de riesgo de crédito y qué criterios deben seguir para la migración entre etapas?,1,1,0,B,Alucinación o Inexactitud del LLM. El contexto contenía el fragmento pero el LLM omitió variables o alucinó datos.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q69,¿Cuáles son los enfoques que las instituciones pueden adoptar para el cálculo de reservas preventivas y qué requisitos deben cumplir para cada enfoque?,0,1,0,A,El buscador falló. El texto clave no estuvo presente en los chunks recuperados en el Top-10.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q70,¿Cómo se determina la Probabilidad de Incumplimiento para créditos clasificados en etapa 3?,0,1,0,A,El buscador falló. El texto clave no estuvo presente en los chunks recuperados en el Top-10.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q71,¿Qué criterios deben seguir las instituciones para migrar un crédito de una etapa de riesgo a otra?,1,1,0,B,Alucinación o Inexactitud del LLM. El contexto contenía el fragmento pero el LLM omitió variables o alucinó datos.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q72,¿Qué se consideraría un crédito personal?,1,1,1,ÉXITO,Extracción e inyección correctas.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q73,¿Qué tipos de garantías pueden ser consideradas por las instituciones para la estimación de la Severidad de la Pérdida de los créditos?,1,1,0,B,Alucinación o Inexactitud del LLM. El contexto contenía el fragmento pero el LLM omitió variables o alucinó datos.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q74,¿Cómo deben las instituciones financieras clasificar los créditos en las etapas de riesgo de crédito según el incremento significativo del riesgo crediticio?,1,1,0,B,Alucinación o Inexactitud del LLM. El contexto contenía el fragmento pero el LLM omitió variables o alucinó datos.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q75,¿Qué se entiendo por saldo a pagar?,1,1,1,ÉXITO,Extracción e inyección correctas.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q76,¿Cómo se determina la reservas para los créditos en etapa 2?,1,1,1,ÉXITO,Extracción e inyección correctas.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q77,¿Cómo deben las instituciones calcular la Exposición al Incumplimiento para créditos donde el saldo es menor que el límite de crédito?,0,1,0,A,El buscador falló. El texto clave no estuvo presente en los chunks recuperados en el Top-10.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q78,¿Se pueden reportar tasas de interés en cero?,0,1,0,A,El buscador falló. El texto clave no estuvo presente en los chunks recuperados en el Top-10.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q79,¿Cuándo no exista información del acreditado en las sociedades de información crediticia que factor de riesgo se aplica?,0,1,0,A,El buscador falló. El texto clave no estuvo presente en los chunks recuperados en el Top-10.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q80,¿Cuál es la fórmula regulatoria para calcular el Coeficiente de Cobertura de Liquidez?,0,1,0,A,El buscador falló. El texto clave no estuvo presente en los chunks recuperados en el Top-10.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q81,¿Cómo se determina el flujo de salida contingente por operaciones con instrumentos financieros derivados?,0,1,0,A,El buscador falló. El texto clave no estuvo presente en los chunks recuperados en el Top-10.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q82,¿Cómo se calcula el flujo total de entrada de efectivo?,1,1,1,ÉXITO,Extracción e inyección correctas.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q83,¿Qué factor de salida se aplica a depósitos en cuentas transaccionales de personas físicas cubiertos por el IPAB?,0,1,0,A,El buscador falló. El texto clave no estuvo presente en los chunks recuperados en el Top-10.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q84,¿Cómo se registran las operaciones de compra-venta fecha valor para calcular el coeficiente de cobertura de liquidez?,1,1,0,B,Alucinación o Inexactitud del LLM. El contexto contenía el fragmento pero el LLM omitió variables o alucinó datos.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q85,¿Cuál es la fórmula regulatoria para calcular el Coeficiente de Financiamiento Estable Neto y cómo debe expresarse el resultado porcentual?,1,1,1,ÉXITO,Extracción e inyección correctas.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q86,¿Con qué periodicidad debe reportarse el CFEN al Banco de México y a qué fecha de cálculo corresponde?,1,1,0,B,Alucinación o Inexactitud del LLM. El contexto contenía el fragmento pero el LLM omitió variables o alucinó datos.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q87,¿Qué se entiende por Monto de Financiamiento Estable Disponible para efectos del CFEN?,1,1,0,B,Alucinación o Inexactitud del LLM. El contexto contenía el fragmento pero el LLM omitió variables o alucinó datos.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q88,¿Qué se entiende por Monto de Financiamiento Estable Requerido para efectos del CFEN?,1,1,0,B,Alucinación o Inexactitud del LLM. El contexto contenía el fragmento pero el LLM omitió variables o alucinó datos.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q89,"¿Qué factor de financiamiento estable disponible se asigna al capital fundamental, capital básico no fundamental y pasivos con plazo residual igual o mayor a un año?",0,1,0,A,El buscador falló. El texto clave no estuvo presente en los chunks recuperados en el Top-10.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q90,¿Cuál es la definición de liquidez intradía según las herramientas de monitoreo del Comité de Basilea?,1,1,1,ÉXITO,Extracción e inyección correctas.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q91,¿Cuáles son las principales fuentes propias de liquidez intradía que puede utilizar un banco durante el día hábil?,1,1,1,ÉXITO,Extracción e inyección correctas.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q92,¿Cómo se define un escenario de tensión de contraparte?,0,1,0,A,El buscador falló. El texto clave no estuvo presente en los chunks recuperados en el Top-10.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q93,¿Cómo se calcula el uso máximo diario de liquidez intradía a partir de la posición neta acumulada de pagos enviados y recibidos?,0,1,1,A,El buscador falló. El texto clave no estuvo presente en los chunks recuperados en el Top-10.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q94,¿Qué son las obligaciones con horario específico y por qué su incumplimiento puede generar riesgo financiero o reputacional?,0,1,0,A,El buscador falló. El texto clave no estuvo presente en los chunks recuperados en el Top-10.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q01,¿Para consumo no revolvente cómo se define el pago realizado?,0,1,1,A,El buscador falló. El texto clave no estuvo presente en los chunks recuperados en el Top-10.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q95,¿Cuál es la fórmula para calcular la Probabilidad de Incumplimiento (PI) de un crédito de nómina en Etapa 1 o 2?,1,1,1,ÉXITO,Extracción e inyección correctas.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q96,¿Bajo qué condiciones un crédito de nómina pasa directamente a Etapa 3 de riesgo?,1,1,0,B,Alucinación o Inexactitud del LLM. El contexto contenía el fragmento pero el LLM omitió variables o alucinó datos.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q97,¿Cómo deben las instituciones financieras clasificar los créditos en las etapas de riesgo de crédito y qué criterios deben seguir para la migración entre etapas?,1,1,0,B,Alucinación o Inexactitud del LLM. El contexto contenía el fragmento pero el LLM omitió variables o alucinó datos.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q98,¿Cuáles son los enfoques que las instituciones pueden adoptar para el cálculo de reservas preventivas y qué requisitos deben cumplir para cada enfoque?,0,1,0,A,El buscador falló. El texto clave no estuvo presente en los chunks recuperados en el Top-10.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q99,¿Cómo se determina la Probabilidad de Incumplimiento para créditos clasificados en etapa 3?,0,1,1,A,El buscador falló. El texto clave no estuvo presente en los chunks recuperados en el Top-10.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q100,¿Qué criterios deben seguir las instituciones para migrar un crédito de una etapa de riesgo a otra?,1,1,0,B,Alucinación o Inexactitud del LLM. El contexto contenía el fragmento pero el LLM omitió variables o alucinó datos.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q101,¿Qué se consideraría un crédito personal?,1,1,0,B,Alucinación o Inexactitud del LLM. El contexto contenía el fragmento pero el LLM omitió variables o alucinó datos.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q102,¿Qué tipos de garantías pueden ser consideradas por las instituciones para la estimación de la Severidad de la Pérdida de los créditos?,1,1,0,B,Alucinación o Inexactitud del LLM. El contexto contenía el fragmento pero el LLM omitió variables o alucinó datos.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q103,¿Cómo deben las instituciones financieras clasificar los créditos en las etapas de riesgo de crédito según el incremento significativo del riesgo crediticio?,1,1,0,B,Alucinación o Inexactitud del LLM. El contexto contenía el fragmento pero el LLM omitió variables o alucinó datos.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q104,¿Qué se entiende por saldo a pagar?,1,1,1,ÉXITO,Extracción e inyección correctas.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q105,¿Cómo se determina la reservas para los créditos en etapa 2?,1,1,1,ÉXITO,Extracción e inyección correctas.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q106,¿Cómo deben las instituciones calcular la Exposición al Incumplimiento para créditos donde el saldo es menor que el límite de crédito?,0,1,0,A,El buscador falló. El texto clave no estuvo presente en los chunks recuperados en el Top-10.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q107,¿Se pueden reportar tasas de interés en cero?,0,1,0,A,El buscador falló. El texto clave no estuvo presente en los chunks recuperados en el Top-10.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
Q108,¿Cuándo no exista información del acreditado en las sociedades de información crediticia que factor de riesgo se aplica?,0,1,0,A,El buscador falló. El texto clave no estuvo presente en los chunks recuperados en el Top-10.,gpt-4o,1.0.0,2235d68ba4-2c2f7bd
